condition,rate_hz,duration_s_mean,duration_s_std,duration_s_count,effective_live_rate_mean,effective_live_rate_std,effective_live_rate_count,missing_samples_mean,missing_samples_std,missing_samples_count,live_missing_total_mean,live_missing_total_std,live_missing_total_count,recovered_by_replay_mean,recovered_by_replay_std,recovered_by_replay_count,unrecovered_context_mean,unrecovered_context_std,unrecovered_context_count,replay_recovery_ratio_mean,replay_recovery_ratio_std,replay_recovery_ratio_count,recovery_time_ms_mean,recovery_time_ms_std,recovery_time_ms_count,replay_count_mean,replay_count_std,replay_count_count,live_count_mean,live_count_std,live_count_count,history_requests_mean,history_requests_std,history_requests_count,history_loaded_mean,history_loaded_std,history_loaded_count,gaps_count_mean,gaps_count_std,gaps_count_count,largest_gap_mean,largest_gap_std,largest_gap_count,relative_timestamp_offset_mean_ms_mean,relative_timestamp_offset_mean_ms_std,relative_timestamp_offset_mean_ms_count,relative_timestamp_offset_median_ms_mean,relative_timestamp_offset_median_ms_std,relative_timestamp_offset_median_ms_count,relative_timestamp_offset_p95_ms_mean,relative_timestamp_offset_p95_ms_std,relative_timestamp_offset_p95_ms_count,relative_timestamp_offset_max_ms_mean,relative_timestamp_offset_max_ms_std,relative_timestamp_offset_max_ms_count,staleness_mean_ms_mean,staleness_mean_ms_std,staleness_mean_ms_count,staleness_median_ms_mean,staleness_median_ms_std,staleness_median_ms_count,staleness_p95_ms_mean,staleness_p95_ms_std,staleness_p95_ms_count,staleness_max_ms_mean,staleness_max_ms_std,staleness_max_ms_count,inter_arrival_mean_ms_mean,inter_arrival_mean_ms_std,inter_arrival_mean_ms_count,inter_arrival_std_ms_mean,inter_arrival_std_ms_std,inter_arrival_std_ms_count,inter_arrival_p95_ms_mean,inter_arrival_p95_ms_std,inter_arrival_p95_ms_count
disconnect_replay,25,71.1736,1.494418742447304,10,11.219677872458414,11.827698310231,10,89.8,102.58091657050274,10,89.8,102.58091657050274,10,16.1,24.02059301701123,10,73.7,93.17254006531228,10,0.24110804896586463,0.30335158731893763,5,42.8,2.387467277262664,5,37.5,39.528470752104745,10,810.1,853.9204295483274,10,0.5,0.5270462766947299,10,0.5,0.5270462766947299,10,49.8,65.71453416102102,10,40.5,42.69074841227312,10,0.2644893213332046,0.09849438078729567,5,-0.22021484375,0.0510708547034972,5,0.5231103515624999,0.04430737133907581,5,69.66318359375,15.75423452393309,5,0.2644893213332046,0.09849438078729567,5,-0.22021484375,0.0510708547034972,5,0.5231103515624999,0.04430737133907581,5,69.66318359375,15.75423452393309,5,44.58067439892023,0.49292629518346703,5,113.21781715330299,14.755547911671952,5,41.0,0.0,5
disconnect_replay,50,71.4379,1.0914380371275691,10,22.22730786941218,23.440227436621136,10,157.7,186.68514789464223,10,157.7,186.68514789464223,10,39.7,48.456280409366045,10,118.0,160.5912686155619,10,0.3268772459443296,0.26847110370635974,5,50.2,2.1679483388678795,5,75.0,79.05694150420949,10,1604.9,1692.3939947108454,10,0.5,0.5270462766947299,10,0.5,0.5270462766947299,10,61.6,92.5505267408025,10,96.6,112.57214970359627,10,1.587527765020594,0.3519965449197324,5,-0.149951171875,0.14873979805975088,5,11.848366699218747,0.9262720031544426,5,443.112060546875,828.8975201344791,5,1.587527765020594,0.3519965449197324,5,-0.149951171875,0.14873979805975088,5,11.848366699218747,0.9262720031544426,5,443.112060546875,828.8975201344791,5,22.50574219516984,0.544980264048884,5,91.9736577177592,36.0777462656071,5,28.8,0.8366600265340756,5
disconnect_replay,75,71.1229,1.410451184708088,10,33.8439942546548,35.67478634374309,10,255.1,356.6627569879174,10,255.1,356.6627569879174,10,62.1,73.63189224483882,10,193.0,327.8651484308077,10,0.3596449847856221,0.2613923922352842,5,53.0,3.0000000000000004,5,112.5,118.58541225631423,10,2431.3,2562.815337779052,10,0.5,0.5270462766947299,10,0.5,0.5270462766947299,10,135.0,274.230235791428,10,120.6,127.12391155439204,10,4.901723031727769,0.7057805921981439,5,0.0980224609375,0.02215130553606738,5,29.862861328124986,0.9779930623940918,5,1192.439013671875,1002.1356741812289,5,4.901723031727769,0.7057805921981439,5,0.0980224609375,0.02215130553606738,5,29.862861328124986,0.9779930623940918,5,1192.439013671875,1002.1356741812289,5,14.77213609636867,0.02554458260689699,5,65.01225380452675,9.03185732188566,5,36.6,0.5477225575051667,5
disconnect_replay,100,70.952,1.9752491825927532,10,44.91914248457012,47.35371755511341,10,301.6,362.7316730955083,10,301.6,362.7316730955083,10,50.1,62.281529275451234,10,251.5,328.0451357833417,10,0.20732532642537232,0.16929000202330385,5,49.8,3.2710854467592263,5,150.0,158.11388300841898,10,3241.5,3416.841011811934,10,0.5,0.5270462766947299,10,0.5,0.5270462766947299,10,141.7,229.7409410618839,10,160.4,169.0767084294384,10,5.50733434891013,0.5348379080081015,5,0.001123046875,0.22871706960065757,5,30.525610351562488,1.2434208465538568,5,1554.05576171875,819.2908318382039,5,5.50733434891013,0.5348379080081015,5,0.001123046875,0.22871706960065757,5,30.525610351562488,1.2434208465538568,5,1554.05576171875,819.2908318382039,5,11.130700401110769,0.127037466804897,5,53.885216594913345,2.2960308391636906,5,13.979999999999928,0.027386127875358098,5
disconnect_replay,150,71.5211,1.5773194878231458,10,67.12477819960809,70.76523815509454,10,387.5,562.6528928013947,10,387.5,562.6528928013947,10,162.8,196.25991836224622,10,224.7,528.9102108213748,10,0.6057458999215835,0.3426965141789535,5,16.8,19.0971202017477,5,225.0,237.17082451262846,10,4865.6,5128.795401131407,10,0.5,0.5270462766947299,10,0.5,0.5270462766947299,10,147.4,416.7112509480235,10,240.6,253.61484358942576,10,6.810294885013211,0.3777379066848326,5,0.177197265625,0.027125797848899513,5,32.70222900390624,1.1422948193783469,5,2027.668798828125,49.71050084102297,5,6.810294885013211,0.3777379066848326,5,0.177197265625,0.027125797848899513,5,32.70222900390624,1.1422948193783469,5,2027.668798828125,49.71050084102297,5,7.44825482948634,0.09802171595008487,5,44.92912157575391,2.2218157646372956,5,9.0,0.0,5
reconnect_only,25,70.1855,0.3936730877263585,10,24.059783711221613,0.13567106197958462,10,70.5,74.0589104849796,10,70.5,74.0589104849796,10,0.0,0.0,10,70.5,74.0589104849796,10,0.0,0.0,10,18.8,13.002563849743892,10,0.0,0.0,10,1688.6,0.6992058987800841,10,0.0,0.0,10,0.0,0.0,10,58.9,74.24351823560087,10,12.6,0.5163977794943222,10,0.39575954645856,0.395842257334467,10,-0.1165771484375,0.21601328941463757,10,0.4644213867187498,0.17083463864099163,10,162.3586669921875,321.80837066366047,10,0.39575954645856,0.395842257334467,10,-0.1165771484375,0.21601328941463757,10,0.4644213867187498,0.17083463864099163,10,162.3586669921875,321.80837066366047,10,41.57267156199073,0.23830865190567724,10,38.275316773879254,3.6509174188533877,10,40.8,0.4216370213557833,10
reconnect_only,50,70.29690000000001,0.364018757147976,10,47.987691062722114,0.30170919429179754,10,87.5,40.3436625891987,10,87.5,40.3436625891987,10,0.0,0.0,10,87.5,40.3436625891987,10,0.0,0.0,10,10.9,5.065131346328105,10,0.0,0.0,10,3373.3,10.49920631920966,10,0.0,0.0,10,0.0,0.0,10,60.7,38.901728039310086,10,27.7,8.192815280611557,10,1.6404628636492486,0.23250979760909546,10,-0.1438720703125,0.21352501315796335,10,13.02389526367187,0.6152444092875852,10,270.5606689453125,408.71324918077545,10,1.6404628636492486,0.23250979760909546,10,-0.1438720703125,0.21352501315796335,10,13.02389526367187,0.6152444092875852,10,270.5606689453125,408.71324918077545,10,20.82428086714955,0.12041308378013844,10,29.108519047681757,2.5634654614988976,10,31.2,0.4216370213557835,10
reconnect_only,75,70.4023,0.30895848336701515,10,71.97902364360347,0.32061641861689977,10,102.1,52.619071320830685,10,102.1,52.619071320830685,10,0.0,0.0,10,102.1,52.619071320830685,10,0.0,0.0,10,6.9,3.478505426185217,10,0.0,0.0,10,5067.4,2.0110804171998473,10,0.0,0.0,10,0.0,0.0,10,65.3,52.801620345507494,10,37.8,0.4216370213557833,10,4.686738603533795,0.4024012317910354,10,0.16646728515625,0.04801687632522351,10,30.346480712890617,0.951114624236993,10,528.009619140625,552.2981874355384,10,4.686738603533795,0.4024012317910354,10,0.16646728515625,0.04801687632522351,10,30.346480712890617,0.951114624236993,10,528.009619140625,552.2981874355384,10,13.891843431928356,0.062465416190986355,10,25.92787787121523,1.6057675300155014,10,38.1,0.7378647873726228,10
reconnect_only,100,70.5014,0.40141560618502486,10,95.81227001103137,0.5513874001812283,10,364.0,418.7895254977931,10,364.0,418.7895254977931,10,0.0,0.0,10,364.0,418.7895254977931,10,0.0,0.0,10,4.4,2.3190036174568114,10,0.0,0.0,10,6754.7,1.1595018087281193,10,0.0,0.0,10,0.0,0.0,10,314.6,419.1404431823671,10,50.4,1.712697677155351,10,5.82912511980976,0.6772946549600547,10,0.1029541015625,0.21181215804046075,10,33.44705444335936,1.823901302999469,10,431.7300048828125,533.7074588789548,10,5.82912511980976,0.6772946549600547,10,0.1029541015625,0.21181215804046075,10,33.44705444335936,1.823901302999469,10,431.7300048828125,533.7074588789548,10,10.435887451691391,0.060988073561914574,10,23.07955574493149,1.5319472180305742,10,13.9,0.3162277660168379,10
reconnect_only,150,70.3971,0.3363085388944766,10,143.92085825315326,0.6979758148185752,10,502.6,431.6931008637193,10,502.6,431.6931008637193,10,0.0,0.0,10,502.6,431.6931008637193,10,0.0,0.0,10,2.9,2.183269719175042,10,0.0,0.0,10,10131.4,2.5033311140690993,10,0.0,0.0,10,0.0,0.0,10,425.3,431.53834643568405,10,78.0,2.054804667656325,10,10.49227810021645,1.7898682607743133,10,1.28717041015625,0.6349725975974607,10,41.94228759765624,4.837626958653314,10,854.367431640625,525.8252807867506,10,10.49227810021645,1.7898682607743133,10,1.28717041015625,0.6349725975974607,10,41.94228759765624,4.837626958653314,10,854.367431640625,525.8252807867506,10,6.946995112910757,0.03405552245676301,10,18.3340945336284,1.0414582894678655,10,10.1,0.31622776601683794,10
